Category,Cabs,Housekeeping,Food & Courier Delivery,Vendors,Security,Event Visitors,Staff,Mess Workers,Visitors,Palash Nivas,Faculty,Milk & Paper,Parijat Nivas,Bakul Nivas,Kadamba Nivas
Cabs,1.0,0.7504648134303955,-0.8003251145460452,-0.5005095298224025,0.866625344952752,0.20120021185539855,-0.7505991720337981,-0.42182019451304337,-0.015691147323887975,0.05123081638013823,0.11748049666126285,0.1307388870681189,0.11805581409947517,0.04934758503527952,-0.04628217383107428
Housekeeping,0.7504648134303955,1.0,-0.694121805317639,-0.4090612345310734,0.7465114394442656,0.0982204623941884,-0.6282113587036556,-0.1908592043878254,0.03939065823248987,0.10318424390335944,0.46871794833368,0.06840882312366171,0.1855573230222318,0.1793935660680627,0.08058944304978173
Food & Courier Delivery,-0.8003251145460452,-0.694121805317639,1.0,0.5863199001225791,-0.9287620927707183,-0.2312799454114011,0.7883057588243751,0.5010009169812563,-0.09225698759915484,-0.2034983545548313,0.04896240063121266,0.05332599395012995,-0.3073468958152754,-0.2534118807175087,-0.14615390667029565
Vendors,-0.5005095298224025,-0.4090612345310734,0.5863199001225791,1.0,-0.6833744664335967,-0.274462832935336,0.7553476614702259,0.2911205987813067,0.1473454160308816,-0.36103296781478295,0.27179914435600133,0.2563613217437044,-0.421904112095519,-0.5017612100524975,-0.33578962066105894
Security,0.866625344952752,0.7465114394442656,-0.9287620927707183,-0.6833744664335967,1.0,0.2451596676249257,-0.871056081059632,-0.5033978594072578,-0.04872611278490717,0.15669026374184283,-0.04298987574674312,0.0197890348260445,0.30489349638756075,0.24893351439008507,0.11415983296399186
Event Visitors,0.20120021185539855,0.0982204623941884,-0.2312799454114011,-0.274462832935336,0.2451596676249257,1.0,-0.21691001866446116,-0.1458058509399688,0.024963446208868163,0.164292689057053,-0.12636321651125534,-0.0990561704267847,0.22883937132933022,0.19404873867446734,0.10095833647434947
Staff,-0.7505991720337981,-0.6282113587036556,0.7883057588243751,0.7553476614702259,-0.871056081059632,-0.21691001866446116,1.0,0.5525694915951386,0.0032108804845255553,-0.1647355326856424,0.2636883919019815,-0.01170815915131805,-0.29964423481322483,-0.23054906351256121,-0.10713000185134726
Mess Workers,-0.42182019451304337,-0.1908592043878254,0.5010009169812563,0.2911205987813067,-0.5033978594072578,-0.1458058509399688,0.5525694915951386,1.0,-0.2449362686916056,0.02161817638907181,0.35055832320826275,-0.08783116263276927,-0.1149190555666059,0.028378477457023214,0.09891422240277081
Visitors,-0.015691147323887975,0.03939065823248987,-0.09225698759915484,0.1473454160308816,-0.04872611278490717,0.024963446208868163,0.0032108804845255553,-0.2449362686916056,1.0,0.06502285443121655,-0.01301359964594058,-0.05790444486582105,0.0672467281146745,0.0037393416270234707,0.09349366691943126
Palash Nivas,0.05123081638013823,0.10318424390335944,-0.2034983545548313,-0.36103296781478295,0.15669026374184283,0.164292689057053,-0.1647355326856424,0.02161817638907181,0.06502285443121655,1.0,-0.04401112051383661,-0.34409997813204335,0.5918735258393358,0.6042934031400315,0.5762912239631303
Faculty,0.11748049666126285,0.46871794833368,0.04896240063121266,0.27179914435600133,-0.04298987574674312,-0.12636321651125534,0.2636883919019815,0.35055832320826275,-0.01301359964594058,-0.04401112051383661,1.0,0.10594575338135861,-0.12643485627731044,-0.03742373833549805,-0.008475007679159407
Milk & Paper,0.1307388870681189,0.06840882312366171,0.05332599395012995,0.2563613217437044,0.0197890348260445,-0.0990561704267847,-0.01170815915131805,-0.08783116263276927,-0.05790444486582105,-0.34409997813204335,0.10594575338135861,1.0,-0.26429803620014153,-0.36489460499329424,-0.32973260820835404
Parijat Nivas,0.11805581409947517,0.1855573230222318,-0.3073468958152754,-0.421904112095519,0.30489349638756075,0.22883937132933022,-0.29964423481322483,-0.1149190555666059,0.0672467281146745,0.5918735258393358,-0.12643485627731044,-0.26429803620014153,1.0,0.6880027835995866,0.5344591671681994
Bakul Nivas,0.04934758503527952,0.1793935660680627,-0.2534118807175087,-0.5017612100524975,0.24893351439008507,0.19404873867446734,-0.23054906351256121,0.028378477457023214,0.0037393416270234707,0.6042934031400315,-0.03742373833549805,-0.36489460499329424,0.6880027835995866,1.0,0.7630688386406848
Kadamba Nivas,-0.04628217383107428,0.08058944304978173,-0.14615390667029565,-0.33578962066105894,0.11415983296399186,0.10095833647434947,-0.10713000185134726,0.09891422240277081,0.09349366691943126,0.5762912239631303,-0.008475007679159407,-0.32973260820835404,0.5344591671681994,0.7630688386406848,1.0
