Category,Avg_Count,StdDev,Min_Count,Max_Count,Days_Active,Pct_Weekend,Activity_Level
Alumini,4.847222222222222,11.57177201936815,1,100,72,27.77777777777778,Low
Aroyga & Bank,8.83030303030303,2.633332865549557,1,14,165,27.878787878787882,Low
Bakul Nivas,9.095435684647303,8.446598176004816,1,44,241,30.29045643153527,Low
Bikes,32.5625,7.702542870160911,18,47,16,31.25,Low
Cabs,250.5616113744076,78.43907568343651,26,625,422,28.672985781990523,High
Event Visitors,111.5792349726776,126.53798024927283,5,875,183,48.08743169398907,Medium
Faculty,13.930232558139535,4.721257108406167,1,48,516,21.705426356589147,Low
Food & Courier Delivery,55.77682926829268,60.23316680282198,2,373,165,27.682926829268297,Medium
Garbage,1.84375,0.6278162356983543,1,3,32,25.0,Low
Heavy Vehicles,9.90625,4.986170390318639,1,21,32,25.0,Low
Housekeeping,73.12549800796813,74.00603696139116,1,189,586,28.286852589641438,Medium
Kadamba Nivas,4.368421052631579,4.684027563449713,1,21,342,31.28654970760234,Low
Lost & Found,10.875,16.598356387986392,1,51,24,20.833333333333336,Low
Magic Pin,8.221428571428572,6.7792190475114324,1,32,140,27.142857142857142,Low
Mess Workers,28.554607508532424,8.976203350962136,1,66,586,28.327645051194537,Low
Milk & Paper,12.081771720613288,3.1687668808338096,6,35,587,28.449744463373083,Low
Palash Nivas,13.0,11.891924030318108,1,81,561,29.055258467023172,Low
Parijat Nivas,8.290676416819013,7.003502845414202,1,48,547,28.884826325411332,Low
Security,64.1563981042654,0.9767824016324826,63,65,422,28.672985781990523,Medium
Staff,48.33576642335766,26.80042155809589,1,91,165,25.304136253041364,Low
Vendors,46.858477970627504,25.12053825190369,1,137,587,28.17089452603471,Low
Visitors,29.266384778012686,29.211837175743344,1,275,473,29.175475687103592,Low
Visitors Vechile,45.0,,45,45,1,0.0,Low
Visitors Vehicle,55.0,,55,55,1,100.0,Medium
